Behavioral_Index,Stage_fear,Drained_after_socializing,Personality
13.948507933672039,0,0,0
1.501202920732663,1,1,1
4.978005868497129,1,1,1
17.450233183811406,0,0,0
12.977319151666332,0,0,0
11.995065529562945,0,0,0
14.410481566328462,0,0,0
13.48446393844402,0,0,0
3.518590460642411,1,1,1
17.45372094729558,0,0,0
17.439631771250145,0,0,0
3.9806916848261924,1,1,1
18.451035130966513,0,0,0
13.461224750617797,0,0,0
3.497266101133076,1,1,1
11.9735094562854,0,0,0
-6.304387860693636e-18,1,1,1
12.469942651120434,0,0,0
4.476031959752291,1,1,1
14.452998220378928,0,0,0
3.4949814369392334,1,1,1
15.44199565568245,0,0,0
17.950634157388958,0,0,0
2.5059840016357136,1,1,1
17.94449189383399,0,0,0
15.957087354950598,0,0,0
16.43424914070193,0,0,0
12.003983827575526,0,0,0
15.948538892814971,0,0,0
16.93645476321498,0,0,0
16.47338215350908,0,0,0
15.000247405485883,0,0,0
3.5197935599327397,1,1,1
4.005503807819698,1,0,1
3.4864329748036065,1,1,1
16.93971081293094,0,0,0
13.423294837100979,0,0,0
12.460422803462688,0,0,0
2.498037089145251,1,1,1
2.970739725890292,1,1,1
13.944048784665748,0,0,0
14.79025619189934,0,0,0
4.004300708529369,1,1,1
3.499440585945524,1,1,1
5.473947693068393,1,1,1
15.003133619324892,0,0,0
16.94259702676995,0,0,0
2.498037089145251,1,1,1
4.99775729283918,1,1,1
14.486237271121247,0,0,0
2.4805703289970427,1,1,1
15.46343019457318,0,0,0
3.490892123809897,1,1,1
3.5023267997845315,1,1,1
6.492817950016874,1,1,1
14.464432896353564,0,0,0
5.987356277787864,1,1,1
17.4769601351218,0,0,0
13.475805296926998,0,0,0
12.484263540934077,0,0,0
16.47784130251537,0,0,0
5.491414453216601,1,1,1
4.495783384094342,1,1,1
13.989324061027864,0,0,0
10.998121181768964,0,0,0
3.009271189052275,1,1,1
13.002732824305003,0,0,0
5.490812903571436,1,1,1
10.497118658546244,0,0,0
4.007788472013541,1,1,1
4.991615029284211,1,1,1
15.569248753396142,0,0,0
15.956005790047087,0,0,0
1.5062636193841181,1,1,1
2.9815728522197613,1,1,1
4.005503807819698,1,1,1
3.9772039213420203,1,1,1
13.968369537395485,0,0,0
2.970739725890292,1,1,1
15.967810301898675,0,0,0
1.9881162679099509,1,1,1
16.457488328528154,0,0,0
13.478089961120842,0,0,0
2.4805703289970427,1,0,1
12.503783251507917,0,0,0
12.444528978481763,0,0,0
15.479324019554104,0,0,0
14.960143007156617,0,0,0
16.435822075869215,0,0,0
17.29640988937268,0,0,0
3.9896099828387737,1,1,1
13.47194769756587,0,0,0
3.0007227269166483,1,1,1
11.478770731004467,0,0,0
14.480696557211443,0,0,0
16.967409149763455,0,0,0
14.118054267389331,0,0,0
18.448380630895716,0,0,0
17.49671155946385,0,0,0
3.474026913306853,1,1,1
3.5141313116361204,1,1,1
14.227086059176838,0,0,0
13.953568632323496,0,0,0
5.483467540726138,1,1,1
4.49229562061017,1,1,1
16.964522935924446,0,0,0
13.948507933672039,0,0,0
12.983351235839905,0,0,0
12.464280402823814,0,0,0
2.009440627419285,1,1,1
16.442085873811,0,0,0
16.958982222014644,0,0,0
13.98475473264018,0,0,0
2.009440627419285,1,1,1
13.976316449885946,0,0,0
16.431362926862924,0,0,0
13.496268450295608,0,0,0
2.0117252916131276,1,1,1
2.016785990264583,1,1,1
13.948138097795084,0,0,0
4.477604894919574,1,1,1
4.505303231752088,1,1,1
11.989293101884932,0,0,0
4.0122476210198315,1,1,1
14.472148095075816,0,0,0
2.9895197647102236,1,1,1
15.479815389817874,0,0,0
16.941283748098222,0,0,0
4.471942646622955,1,1,1
14.494785733256872,0,0,0
15.955774076278876,0,0,0
2.69783574907266,1,1,1
3.493778337648904,1,1,1
15.469693992514964,0,0,0
17.4696147722765,0,0,0
1.4989182565388202,1,1,1
5.473947693068393,1,1,1
4.9938996934780535,1,1,1
3.5073874984359863,1,1,1
15.472580206353971,0,0,0
13.508194496534013,0,0,0
6.9858735607491305,1,1,1
13.496268450295608,0,0,0
16.461467462276094,0,0,0
12.48463337681103,0,0,0
18.443689768121217,0,0,0
0.501002523222719,1,1,1
4.989810380348717,1,1,1
13.991498545840313,0,0,0
13.975604720859389,0,0,0
4.492897170255334,1,1,1
13.939589635659457,0,0,0
16.45617504985643,0,0,0
3.018791036710021,1,1,1
16.47267042448252,0,0,0
4.49229562061017,1,1,1
3.4949814369392334,1,1,1
16.971868298769746,0,0,0
17.45949337497359,0,0,0
15.984785691783113,0,0,0
3.506785948790822,1,1,1
3.968285623329439,1,1,1
16.441716037934043,0,0,0
3.512448197087442,1,1,1
4.011646071374667,1,1,1
15.485957653372843,0,0,0
4.989810380348717,1,1,1
3.0063849752132676,1,1,1
13.983551633349851,0,0,0
4.99775729283918,1,1,1
14.963630770640789,0,0,0
11.49563594150751,0,0,0
16.952116874427695,0,0,0
3.0181894870648565,1,1,1
14.930160006130262,0,0,0
3.0063849752132676,1,1,1
15.94299817890517,0,0,0
18.454522894450687,0,0,0
19.460987089902414,0,0,0
14.99230049299542,0,0,0
12.974432937827324,0,0,0
11.482860044133801,0,0,0
2.487314142197176,1,1,1
3.490892123809897,1,1,1
16.001650902286155,0,0,0
2.002205443955382,1,1,1
2.488517241487505,1,1,1
1.4989182565388202,1,1,1
3.001324276561813,1,1,1
15.48041693946304,0,0,0
15.5085952915539,0,0,0
13.97017418633098,0,0,0
11.976887040388178,0,0,0
4.004902258174534,1,1,1
1.493857557887365,1,1,1
17.957979520234257,0,0,0
4.493498719900499,1,1,1
3.0063849752132676,1,1,1
1.4791668321967693,1,1,1
13.522114894447117,0,0,0
2.4900901766547885,1,1,1
3.9874354980263256,1,1,1
2.9815728522197613,1,1,1
2.4929763904937956,1,1,1
1.486512195042067,1,1,1
3.199577713381911,0,1,1
